Category: All categories

Week,flights: (United States)
2021-01-03,59
2021-01-10,59
2021-01-17,57
2021-01-24,58
2021-01-31,60
2021-02-07,61
2021-02-14,72
2021-02-21,74
2021-02-28,79
2021-03-07,86
2021-03-14,91
2021-03-21,87
2021-03-28,83
2021-04-04,87
2021-04-11,89
2021-04-18,87
2021-04-25,87
2021-05-02,90
2021-05-09,88
2021-05-16,96
2021-05-23,96
2021-05-30,96
2021-06-06,98
2021-06-13,99
2021-06-20,99
2021-06-27,100
2021-07-04,98
2021-07-11,100
2021-07-18,96
2021-07-25,87
2021-08-01,89
2021-08-08,82
2021-08-15,80
2021-08-22,74
2021-08-29,78
2021-09-05,79
2021-09-12,78
2021-09-19,80
2021-09-26,79
2021-10-03,67
2021-10-10,76
2021-10-17,67
2021-10-24,66
2021-10-31,69
2021-11-07,70
2021-11-14,66
2021-11-21,64
2021-11-28,65
2021-12-05,62
2021-12-12,61
2021-12-19,60
2021-12-26,72
