Category: All categories

Week,hotels: (United States)
2021-01-03,46
2021-01-10,47
2021-01-17,47
2021-01-24,49
2021-01-31,49
2021-02-07,53
2021-02-14,61
2021-02-21,55
2021-02-28,61
2021-03-07,66
2021-03-14,73
2021-03-21,86
2021-03-28,86
2021-04-04,98
2021-04-11,94
2021-04-18,93
2021-04-25,86
2021-05-02,94
2021-05-09,93
2021-05-16,92
2021-05-23,92
2021-05-30,91
2021-06-06,98
2021-06-13,96
2021-06-20,95
2021-06-27,97
2021-07-04,100
2021-07-11,99
2021-07-18,98
2021-07-25,89
2021-08-01,86
2021-08-08,83
2021-08-15,83
2021-08-22,75
2021-08-29,86
2021-09-05,75
2021-09-12,79
2021-09-19,76
2021-09-26,77
2021-10-03,67
2021-10-10,63
2021-10-17,63
2021-10-24,59
2021-10-31,56
2021-11-07,60
2021-11-14,56
2021-11-21,53
2021-11-28,51
2021-12-05,49
2021-12-12,45
2021-12-19,41
2021-12-26,49
