Category: All categories

Week,travelocity: (United States)
2021-01-03,40
2021-01-10,49
2021-01-17,46
2021-01-24,43
2021-01-31,44
2021-02-07,55
2021-02-14,65
2021-02-21,64
2021-02-28,74
2021-03-07,83
2021-03-14,82
2021-03-21,76
2021-03-28,88
2021-04-04,78
2021-04-11,74
2021-04-18,80
2021-04-25,78
2021-05-02,70
2021-05-09,81
2021-05-16,88
2021-05-23,92
2021-05-30,91
2021-06-06,91
2021-06-13,91
2021-06-20,100
2021-06-27,93
2021-07-04,98
2021-07-11,100
2021-07-18,91
2021-07-25,74
2021-08-01,68
2021-08-08,62
2021-08-15,63
2021-08-22,60
2021-08-29,52
2021-09-05,52
2021-09-12,56
2021-09-19,70
2021-09-26,65
2021-10-03,87
2021-10-10,90
2021-10-17,86
2021-10-24,87
2021-10-31,82
2021-11-07,83
2021-11-14,78
2021-11-21,79
2021-11-28,80
2021-12-05,81
2021-12-12,72
2021-12-19,68
2021-12-26,77
